lan_a,lan_b
‫عَوٌْذ‬,"to take refuge, to take protection"
‫أَعُوْذُ‬,"I take refuge, I take protection"
‫بِ‬,"of, with, by, in"
‫مِنْ‬,"from, of, some of, since, then"
‫رَجِيْمٌ‬,"stoned, cursed, damned"
‫اِسْمٌ‬,"name, noun"
‫اَ َّ لرحْمَنُ‬‏,"Beneficent, Compassionate"
‫اَل َّ رحِيْمٌ‬,"merciful, Compassionate"
‫اَلْحَمُْد‬,"the praise, thanks, commend, admire"
‫لِ‬,"for, because of, due to, for the sake of"
‫رَبِّ  الْعَالَمِيْنَ‬,"Sustainer of the worlds, Lord of the worlds/creatures"
‫مَالِكِ‬,"owner, king, master"
‫يَوْمَ‬,day
‫اَلِّ ديْن‬,"judgment, religion, faith, creed"
‫إَِّ ياكَ‬,Thee alone
‫نَعْبُدُ‬,we worship
‫َو‬,and
‫نَسْتَعِيْنُ‬,"we ask for help, assistance, support"
‫اِسْتَعَانَ‬,"to ask for help, succor, support"
‫اِهْدِ‬,"guide, direct, lead on right course or way, show the way, make aware"
‫نَا‬,"us, our, ours"
‫صِراطَ‬,"path, way course"
‫مُسْتَقِيْمٌ‬,"straight, upright, erect, correct, righteous honest"
‫اََّ لذِيْنَ‬,"those, who"
‫أَنْعَمْتَ‬,"you have favored, you bestowed grace"
‫عَلَيْهِمْ‬,"unto them, upon them"
‫غَيْر‬,other than
مَغْضُوْبٌ,those who earned wrath
‫لَا‬,"not, no, do not, don't"
‫اَل َّ ضآِّ ليَْن‬‏,"who go astray, who lose the way"
‫ذالِكَ‬,"this, that"
‫لَارَيْبَ‬,"no doubt, no suspicion"
‫فِيْهِ‬,"in this, in, at, on, within"
‫مَُّ تقِيَْن‬,"those who ward off evil, pious, God-fearing"
‫يُؤْمِنُوْنَ‬,they believe
‫غَيْبُ‬,"unseen, secret, invisible"
‫َو‬,"and, and also"
‫يُقيْمُوْنَ‬,"they establish, they are steadfast"
‫ال َّ ّصلَاةُ‬‏,prayer
‫مِ َّ ما‬,"of that, from that"
‫رَزَقْنَا‬,"we have provided, bestowed, blessed, endowed with livelihood"
‫نَا‬,"we, us, our"
‫هُمْ‬,"them, they, their"
‫يُنْفِقُوْنَ‬,they spend / distribute
‫بِمَا‬,"which, with"
‫أُنْزِلَ‬,"revealed, sent down"
‫إِلَيْكَ‬,unto thee
‫مَا‬,"which, whatever"
‫قَبْلِكَ‬,before thee
‫ءاخِرَةٌ‬,"life after death, hereafter, life to come"
‫يُوْقِنُوْنَ‬,"they are certain of, sure, affirm"
‫اُوْلآئِكَ‬,those / (these) people
‫عَلى‬,"on, upon, above"
‫هُدًى‬,guidance
‫مُفْلِحُوْنَ‬,successful
‫إِنَّ ‬,"certainly, undoubtedly, doubtless"
‫آَفَرُوْا‬,"they disbelieved, they rejected"
‫سَوَآءٌ‬,"equal, all the same"
‫ءَ‬,whether (sign of interrogation)
‫أَنْذَرْتَ‬,you warned / frightened
‫أَمْ‬,or
‫لَمْ‬,not
‫لَا يُؤْمِنُوْنَ‬,they do / will not believe
‫خَتَمَ‬,"sealed, closed, concluded"
‫قُلُوْ‬ب‬,hearts
‫سَمْعِهِمْ‬,their ears / hearing
‫أَبْصَارٌ‬,"eye-sight, eyes"
‫غِشَاوَةٌ‬,"covering, dimness"
‫وَلَهُمْ‬,and for them
‫عَذَابٌ‬,"punishment, torment"
‫عَظِيْمٌ‬,Great
‫اَلَّ ناسُ‬,the men / mankind / people
‫مَنْ‬,who
‫يَقُوْلُ‬,he says / speaks / tells
‫ءَامََّ نا‬,"we believe, we have faith"
‫مَالَهُمْ‬,they are not
‫يُخَادِعُوْنَ‬,"they beguile, they deceive"
‫إَِّ لا‬,"but, except"
‫أَنْفُسَهُمْ‬,their person / soul
‫مايَشْعُرُوْنَ‬,they don't perceive / realize
